iteration,batch,batch_loss,epoch_loss,elapsed_time
1,0,4.94163,4.94163,1.76
1,50,2.59057,3.26014,5.81
1,100,2.21462,2.83871,9.78
1,150,2.17144,2.61162,13.74
1,200,1.79699,2.44163,17.66
1,250,1.80185,2.31313,21.55
1,300,1.46161,2.21169,25.43
1,350,1.46344,2.12759,29.34
1,400,1.59915,2.06065,33.22
1,450,1.7727,2.00349,37.16
1,500,1.62377,1.94869,41.11
1,550,1.35256,1.90174,45.05
1,600,1.20295,1.8594,49.0
1,650,1.40037,1.82269,52.93
1,700,1.22529,1.78575,56.82
1,750,1.24234,1.75557,60.7
1,800,1.15382,1.7232,64.59
1,850,1.43533,1.69476,68.48
1,900,1.34168,1.66918,72.37
1,950,1.37523,1.64517,76.28
1,1000,1.08292,1.62208,80.17
1,1050,1.29583,1.60106,84.07
1,1100,1.30517,1.58122,87.98
1,1150,1.0047,1.56215,91.87
1,1200,1.09249,1.54368,95.76
1,1250,0.984606,1.52651,99.65
1,1300,1.22236,1.50943,103.55
1,1350,1.11594,1.49266,107.43
1,1400,1.07031,1.47757,111.32
1,1450,1.01957,1.4638,115.2
1,1500,0.949663,1.44956,119.1
1,1550,1.0729,1.4374,122.98
1,1600,1.07592,1.42529,126.88
1,1650,0.967462,1.41329,130.76
1,1700,1.03668,1.40148,134.64
1,1750,0.888553,1.39084,138.52
1,1800,1.16833,1.38018,142.41
1,1850,1.25776,1.36964,146.29
1,1900,1.06842,1.35951,150.18
1,1950,0.952254,1.34979,154.07
1,2000,1.1306,1.34055,157.95
1,2050,0.797192,1.33163,162.07
1,2100,1.09521,1.3226,166.86
1,2150,1.02138,1.31401,171.5
1,2200,1.24429,1.306,176.08
1,2250,1.07686,1.29839,180.71
1,2300,1.10614,1.28998,185.34
1,2350,1.01653,1.28218,189.83
1,2400,0.887512,1.2746,194.38
1,2450,1.12175,1.26695,198.92
1,2500,0.812634,1.2603,203.38
1,2550,0.885123,1.25348,208.05
1,2600,1.04106,1.24697,212.69
1,2650,0.963647,1.24068,217.23
1,2700,0.759548,1.23471,221.8
1,2750,0.862839,1.2286,226.32
1,2800,0.950373,1.22242,230.89
1,2850,0.689775,1.21626,235.45
1,2900,0.810522,1.21034,239.96
1,2950,0.980615,1.20435,244.69
1,3000,0.978692,1.19851,249.48
1,3050,0.758573,1.19362,254.11
1,3100,1.07452,1.18825,258.66
1,3150,0.979239,1.18282,263.19
1,3200,0.973926,1.17747,267.92
1,3250,0.808118,1.17203,272.69
1,3300,0.716485,1.16686,277.29
1,3350,0.837013,1.16241,281.8
1,3400,0.83122,1.15749,286.38
1,3450,0.860398,1.15339,290.92
1,3500,0.886269,1.14859,295.5
1,3550,0.910988,1.14395,300.18
1,3600,0.736994,1.13978,304.85
1,3650,0.947993,1.13588,309.43
1,3700,0.733916,1.13128,314.0
1,3750,0.789634,1.12688,318.6
1,3800,0.778178,1.12295,323.37
1,3850,0.564062,1.11879,328.2
1,3900,0.843841,1.11496,333.02
1,3950,0.924036,1.11089,338.13
1,4000,0.8285,1.10681,343.12
1,4050,1.00416,1.10284,347.84
1,4100,0.683259,1.09925,352.48
1,4150,0.732611,1.09589,357.14
1,4200,0.791415,1.09239,361.85
1,4250,0.797464,1.08882,366.53
1,4300,0.789291,1.08569,371.18
1,4350,0.66559,1.08226,375.85
1,4400,0.604228,1.07903,380.44
1,4450,0.701873,1.07579,385.13
1,4500,0.731727,1.07211,389.96
1,4550,0.800206,1.06906,395.03
1,4600,0.740805,1.06579,399.87
1,4650,0.710031,1.06263,404.56
1,4700,0.763586,1.0594,409.23
1,4750,0.731087,1.05637,413.83
1,4800,0.820058,1.05353,418.49
1,4850,0.850627,1.05076,423.1
1,4900,0.795091,1.04779,427.7
1,4950,0.820492,1.04468,432.28
1,5000,0.715378,1.04208,436.97
1,5050,0.711765,1.03908,441.51
1,5100,0.786413,1.03633,446.07
1,5150,0.80865,1.03384,450.8
1,5200,0.668715,1.03105,455.41
1,5250,0.845803,1.02828,460.23
1,5300,0.74258,1.02558,465.25
1,5350,0.770401,1.02258,470.15
1,5400,0.503052,1.02017,474.88
1,5450,0.800135,1.0175,479.62
1,5500,0.588026,1.01476,484.59
1,5550,0.706475,1.01235,489.45
1,5600,0.950796,1.01011,494.25
1,5650,0.78766,1.00769,499.05
1,5700,0.662342,1.00527,503.76
1,5750,0.71334,1.00268,508.71
1,5800,0.740734,1.00054,513.59
1,5850,0.846186,0.998176,518.26
1,5900,0.766913,0.995707,523.1
1,5950,0.66096,0.993391,527.74
1,6000,0.774534,0.991179,532.33
1,6050,0.603489,0.988838,537.09
1,6100,0.754021,0.986657,541.96
1,6150,0.912366,0.984536,546.59
1,6200,0.8796,0.982437,551.49
1,6250,0.745565,0.980386,556.24
1,6300,0.597695,0.978394,561.03
1,6350,0.777175,0.976196,565.84
1,6400,0.862286,0.974098,570.67
1,6450,0.717728,0.97198,575.25
1,6500,0.709299,0.969743,579.77
1,6550,0.585774,0.967668,584.31
1,6600,0.821397,0.965828,588.8
1,6650,0.645471,0.963876,593.59
1,6700,0.647157,0.961823,598.23
1,6750,0.773984,0.960008,602.91
1,6800,0.566425,0.958072,607.57
1,6850,0.642875,0.956009,612.27
1,6900,0.606127,0.95407,617.03
1,6950,0.664704,0.952019,621.74
1,7000,0.699279,0.950025,626.49
1,7050,0.80813,0.948228,630.59
1,7100,0.771334,0.946319,634.43
1,7150,0.734311,0.944634,638.24
1,7200,0.704816,0.942707,642.05
1,7250,0.608344,0.940911,645.87
1,7300,0.659197,0.939124,649.68
1,7350,0.65158,0.937297,653.49
1,7400,0.872906,0.935405,657.36
1,7450,0.620028,0.933495,661.22
1,7500,0.834218,0.931807,665.07
1,7550,0.488329,0.929946,668.91
1,7600,0.782718,0.928216,672.77
1,7650,0.668556,0.926575,676.62
1,7700,0.801511,0.92501,680.46
1,7750,0.728404,0.923433,684.27
1,7800,0.73691,0.921758,688.11
2,0,0.648073,0.648073,775.82
2,50,0.534584,0.644561,780.75
2,100,0.663926,0.654618,785.61
2,150,0.580416,0.647295,790.48
2,200,0.682246,0.647292,795.31
2,250,0.736835,0.64847,800.15
2,300,0.698782,0.650787,805.07
2,350,0.630618,0.651462,810.01
2,400,0.622623,0.650676,815.03
2,450,0.573213,0.647475,819.79
2,500,0.630041,0.647464,824.55
2,550,0.68922,0.645572,829.41
2,600,0.702257,0.645579,834.14
2,650,0.555671,0.645594,839.02
2,700,0.593287,0.644712,843.73
2,750,0.430247,0.642881,848.47
2,800,0.441387,0.642551,853.17
2,850,0.551788,0.643235,857.92
2,900,0.6412,0.643985,862.5
2,950,0.473785,0.642953,867.31
2,1000,0.609155,0.642415,872.26
2,1050,0.541697,0.641396,876.95
2,1100,0.922568,0.641852,881.74
2,1150,0.864528,0.641019,886.54
2,1200,0.815761,0.640851,891.1
2,1250,0.554407,0.641239,895.77
2,1300,0.655887,0.640295,900.61
2,1350,0.822709,0.640663,905.4
2,1400,0.625078,0.640654,910.2
2,1450,0.451835,0.640433,914.97
2,1500,0.503588,0.640229,919.93
2,1550,0.5987,0.640037,924.94
2,1600,0.762227,0.639725,929.73
2,1650,0.648981,0.639144,934.34
2,1700,0.778456,0.639199,938.96
2,1750,0.611605,0.638876,943.66
2,1800,0.777077,0.638651,948.37
2,1850,0.693716,0.638398,953.06
2,1900,0.854487,0.638621,957.86
2,1950,0.676743,0.638804,962.5
2,2000,0.521237,0.638489,967.14
2,2050,0.669239,0.638379,971.86
2,2100,0.606888,0.638367,976.47
2,2150,0.864469,0.639003,980.99
2,2200,0.50574,0.638992,985.54
2,2250,0.689091,0.638838,990.36
2,2300,0.581511,0.63884,995.16
2,2350,0.697844,0.638733,1000.08
2,2400,0.630439,0.638309,1004.77
2,2450,0.781627,0.637794,1009.42
2,2500,0.51891,0.63752,1014.08
2,2550,0.671392,0.636957,1018.78
2,2600,0.571517,0.636448,1023.45
2,2650,0.516844,0.636411,1028.19
2,2700,0.8006,0.636094,1033.04
2,2750,0.833997,0.635185,1037.71
2,2800,0.673704,0.634667,1042.51
2,2850,0.653442,0.634179,1047.25
2,2900,0.732872,0.633768,1052.2
2,2950,0.585571,0.633563,1056.96
2,3000,0.50515,0.633196,1061.74
2,3050,0.619522,0.632476,1066.59
2,3100,0.617315,0.632081,1071.38
2,3150,0.584812,0.63161,1076.19
2,3200,0.641467,0.631389,1081.02
2,3250,0.914517,0.631059,1085.63
2,3300,0.463649,0.630736,1090.31
2,3350,0.630308,0.630275,1094.93
2,3400,0.566909,0.62969,1099.74
2,3450,0.421977,0.629313,1104.39
2,3500,0.855953,0.629143,1109.09
2,3550,0.632172,0.628844,1113.73
2,3600,0.681354,0.628521,1118.42
2,3650,0.784851,0.628641,1123.27
2,3700,0.461278,0.628077,1128.15
2,3750,0.614189,0.627698,1133.06
2,3800,0.558829,0.627347,1137.71
2,3850,0.749925,0.627289,1142.56
2,3900,0.78837,0.62681,1147.12
2,3950,0.576899,0.626284,1151.75
2,4000,0.472478,0.625955,1156.52
2,4050,0.528874,0.625941,1161.09
2,4100,0.57071,0.625693,1165.78
2,4150,0.676012,0.62573,1170.69
